GSS Code,Name,Enw Cymraeg ,URI
E07000223,Adur,,https://local-authority-eng.register.gov.uk/records/ADU
E07000026,Allerdale,,https://local-authority-eng.register.gov.uk/records/ALL
E07000032,Amber Valley,,https://local-authority-eng.register.gov.uk/records/AMB
E07000224,Arun,,https://local-authority-eng.register.gov.uk/records/ARU
E07000170,Ashfield,,https://local-authority-eng.register.gov.uk/records/ASF
E07000105,Ashford,,https://local-authority-eng.register.gov.uk/records/ASH
E07000004,Aylesbury Vale,,https://local-authority-eng.register.gov.uk/records/AYL
E07000200,Babergh,,https://local-authority-eng.register.gov.uk/records/BAB
E09000002,Barking and Dagenham,,https://local-authority-eng.register.gov.uk/records/BAE
E09000003,Barnet,,https://local-authority-eng.register.gov.uk/records/BAI
E08000016,Barnsley,,https://local-authority-eng.register.gov.uk/records/BAN
E07000027,Barrow-in-Furness,,https://local-authority-eng.register.gov.uk/records/BAR
E07000066,Basildon,,https://local-authority-eng.register.gov.uk/records/BAS
E07000084,Basingstoke and Deane,,https://local-authority-eng.register.gov.uk/records/BBD
E07000171,Bassetlaw,,https://local-authority-eng.register.gov.uk/records/BDF
E06000022,Bath and North East Somerset,,https://local-authority-eng.register.gov.uk/records/BDG
E06000055,Bedford,,https://local-authority-eng.register.gov.uk/records/BEN
E09000004,Bexley,,https://local-authority-eng.register.gov.uk/records/BEX
E08000025,Birmingham,,https://local-authority-eng.register.gov.uk/records/BIR
E07000129,Blaby,,https://local-authority-eng.register.gov.uk/records/BKM
E06000008,Blackburn with Darwen,,https://local-authority-eng.register.gov.uk/records/BLA
E06000009,Blackpool,,https://local-authority-eng.register.gov.uk/records/BMH
E07000033,Bolsover,,https://local-authority-eng.register.gov.uk/records/BNE
E08000001,Bolton,,https://local-authority-eng.register.gov.uk/records/BNH
E07000136,Boston,,https://local-authority-eng.register.gov.uk/records/BNS
E06000028,Bournemouth,,https://local-authority-eng.register.gov.uk/records/BOL
E07000033,Bolsover,,https://local-authority-eng.register.gov.uk/records/BOS
E06000036,Bracknell Forest,,https://local-authority-eng.register.gov.uk/records/BOT
E07000067,Braintree,,https://local-authority-eng.register.gov.uk/records/BPL
E07000143,Breckland,,https://local-authority-eng.register.gov.uk/records/BRA
E09000005,Brent,,https://local-authority-eng.register.gov.uk/records/BRC
E07000068,Brentwood,,https://local-authority-eng.register.gov.uk/records/BRD
E06000043,Brighton and Hove,,https://local-authority-eng.register.gov.uk/records/BRE
E07000144,Broadland,,https://local-authority-eng.register.gov.uk/records/BRM
E09000006,Bromley,,https://local-authority-eng.register.gov.uk/records/BRO
E07000234,Bromsgrove,,https://local-authority-eng.register.gov.uk/records/BRT
E07000095,Broxbourne,,https://local-authority-eng.register.gov.uk/records/BRW
E07000172,Broxtowe,,https://local-authority-eng.register.gov.uk/records/BRX
E10000002,Buckinghamshire,,https://local-authority-eng.register.gov.uk/records/BRY
E07000117,Burnley,,https://local-authority-eng.register.gov.uk/records/BST
E08000002,Bury,,https://local-authority-eng.register.gov.uk/records/BUN
E08000033,Calderdale,,https://local-authority-eng.register.gov.uk/records/BUR
E07000008,Cambridge,,https://local-authority-eng.register.gov.uk/records/CAB
E10000003,Cambridgeshire,,https://local-authority-eng.register.gov.uk/records/CAM
E47000008,Cambridgeshire and Peterborough,,https://local-authority-eng.register.gov.uk/records/CAN
E09000007,Camden,,https://local-authority-eng.register.gov.uk/records/CAR
E07000192,Cannock Chase,,https://local-authority-eng.register.gov.uk/records/CAS
E07000106,Canterbury,,https://local-authority-eng.register.gov.uk/records/CAT
E07000028,Carlisle,,https://local-authority-eng.register.gov.uk/records/CBF
E07000069,Castle Point,,https://local-authority-eng.register.gov.uk/records/CHA
E06000056,Central Bedfordshire,,https://local-authority-eng.register.gov.uk/records/CHC
E07000130,Charnwood,,https://local-authority-eng.register.gov.uk/records/CHE
E07000070,Chelmsford,,https://local-authority-eng.register.gov.uk/records/CHI
E07000078,Cheltenham,,https://local-authority-eng.register.gov.uk/records/CHL
E07000177,Cherwell,,https://local-authority-eng.register.gov.uk/records/CHN
E06000049,Cheshire East,,https://local-authority-eng.register.gov.uk/records/CHO
E06000050,Cheshire West and Chester,,https://local-authority-eng.register.gov.uk/records/CHR
