Register,key,local-authority-type,start-date,end-date,Name in ONS,URI
local-authority-eng,WECA,COMB,2014-04-01,,Dummy_Data 1,https://local-authority-eng.register.gov.uk/records/WECA
local-authority-eng,WSK,NMD,2019-04-01,,West Suffolk,https://local-authority-eng.register.gov.uk/records/WSK
local-authority-eng,BPC,UA,2019-04-01,,"Bournemouth, Christchurch and Poole",https://local-authority-eng.register.gov.uk/records/BPC
local-authority-eng,CPCA,COMB,2014-04-01,,Cambridgeshire and Peterborough Combined Authority,https://local-authority-eng.register.gov.uk/records/CPCA
local-authority-eng,DST,UA,2019-04-01,,Dorset Council,https://local-authority-eng.register.gov.uk/records/DST
local-authority-eng,ESK,NMD,2019-04-01,,East Suffolk,https://local-authority-eng.register.gov.uk/records/ESK
local-authority-eng,SWT,NMD,2019-04-01,,Somerset West and Taunton,https://local-authority-eng.register.gov.uk/records/SWT
local-authority-eng,HPL,UA,1905-06-18,,Hartlepool UA,https://local-authority-eng.register.gov.uk/records/HPL
local-authority-eng,MDB,UA,1905-06-18,,Middlesbrough UA,https://local-authority-eng.register.gov.uk/records/MDB
local-authority-eng,RCC,UA,1996-04-01,,Redcar and Cleveland UA,https://local-authority-eng.register.gov.uk/records/RCC
local-authority-eng,STT,UA,1905-06-18,,Stockton-on-Tees UA,https://local-authority-eng.register.gov.uk/records/STT
local-authority-eng,DAL,UA,1997-04-01,,Darlington UA,https://local-authority-eng.register.gov.uk/records/DAL
local-authority-eng,HAL,UA,1998-04-01,,Halton UA,https://local-authority-eng.register.gov.uk/records/HAL
local-authority-eng,WRT,UA,1905-06-20,,Warrington UA,https://local-authority-eng.register.gov.uk/records/WRT
local-authority-eng,BBD,UA,1998-04-01,,Blackburn with Darwen UA,https://local-authority-eng.register.gov.uk/records/BBD
local-authority-eng,BPL,UA,1905-06-20,,Blackpool UA,https://local-authority-eng.register.gov.uk/records/BPL
local-authority-eng,KHL,UA,1996-04-01,,"Kingston upon Hull, City of UA",https://local-authority-eng.register.gov.uk/records/KHL
local-authority-eng,ERY,UA,1996-04-01,,East Riding of Yorkshire UA,https://local-authority-eng.register.gov.uk/records/ERY
local-authority-eng,NEL,UA,1996-04-01,,North East Lincolnshire UA,https://local-authority-eng.register.gov.uk/records/NEL
local-authority-eng,NLN,UA,1996-04-01,,North Lincolnshire UA,https://local-authority-eng.register.gov.uk/records/NLN
local-authority-eng,YOR,UA,1905-06-18,,York UA,https://local-authority-eng.register.gov.uk/records/YOR
local-authority-eng,DER,UA,,,Derby UA,https://local-authority-eng.register.gov.uk/records/DER
local-authority-eng,LCE,UA,1905-06-19,,Leicester UA,https://local-authority-eng.register.gov.uk/records/LCE
local-authority-eng,RUT,UA,1997-04-01,,Rutland UA,https://local-authority-eng.register.gov.uk/records/RUT
local-authority-eng,NGM,UA,1905-06-20,,Nottingham UA,https://local-authority-eng.register.gov.uk/records/NGM
local-authority-eng,HEF,UA,1998-04-01,,"Herefordshire, County of UA",https://local-authority-eng.register.gov.uk/records/HEF
local-authority-eng,TFW,UA,1905-06-20,,Telford and Wrekin UA,https://local-authority-eng.register.gov.uk/records/TFW
local-authority-eng,STE,UA,1905-06-20,,Stoke-on-Trent UA,https://local-authority-eng.register.gov.uk/records/STE
local-authority-eng,BAS,UA,1996-04-01,,Bath and North East Somerset UA,https://local-authority-eng.register.gov.uk/records/BAS
local-authority-eng,BST,UA,1905-06-18,,"Bristol, City of UA",https://local-authority-eng.register.gov.uk/records/BST
local-authority-eng,NSM,UA,1996-04-01,,North Somerset UA,https://local-authority-eng.register.gov.uk/records/NSM
local-authority-eng,SGC,UA,1905-06-18,,South Gloucestershire UA,https://local-authority-eng.register.gov.uk/records/SGC
local-authority-eng,PLY,UA,1998-04-01,,Plymouth UA,https://local-authority-eng.register.gov.uk/records/PLY
local-authority-eng,TOB,UA,1905-06-20,,Torbay UA,https://local-authority-eng.register.gov.uk/records/TOB
local-authority-eng,BMH,UA,1905-06-19,2019-03-31,Bournemouth UA,https://local-authority-eng.register.gov.uk/records/BMH
local-authority-eng,POL,UA,1997-04-01,2019-03-31,Poole UA,https://local-authority-eng.register.gov.uk/records/POL
local-authority-eng,SWD,UA,1905-06-20,,Swindon UA,https://local-authority-eng.register.gov.uk/records/SWD
local-authority-eng,PTE,UA,1905-06-20,,Peterborough UA,https://local-authority-eng.register.gov.uk/records/PTE
local-authority-eng,LUT,UA,1905-06-19,,Luton UA,https://local-authority-eng.register.gov.uk/records/LUT
local-authority-eng,SOS,UA,1905-06-20,,Southend-on-Sea UA,https://local-authority-eng.register.gov.uk/records/SOS
local-authority-eng,THR,UA,1905-06-20,,Thurrock UA,https://local-authority-eng.register.gov.uk/records/THR
local-authority-eng,MDW,UA,1998-04-01,,Medway UA,https://local-authority-eng.register.gov.uk/records/MDW
local-authority-eng,BRC,UA,1998-04-01,,Bracknell Forest UA,https://local-authority-eng.register.gov.uk/records/BRC
local-authority-eng,WBK,UA,1905-06-20,,West Berkshire UA,https://local-authority-eng.register.gov.uk/records/WBK
local-authority-eng,RDG,UA,1905-05-27,,Reading UA,https://local-authority-eng.register.gov.uk/records/RDG
local-authority-eng,SLG,UA,1998-04-01,,Slough UA,https://local-authority-eng.register.gov.uk/records/SLG
local-authority-eng,WNM,UA,1905-06-20,,Windsor and Maidenhead UA,https://local-authority-eng.register.gov.uk/records/WNM
